Datum,Tätigkeit,Dauer in h,Wochenstunden
1.8.2014,,,
,Begrüßungsveranstaltung,2,
,Redirect Support,1.5,
,Android-App Entwicklung: Callforwards + UI-Ideen,3.5,
,Kundenkommunikation und -planung,1,8
4.8.2014,,,
,Android-App Entwicklung: UI-Prototyp für Callforwards,4,
,Android-App Entwicklung: Änderungen UI-Prototyp für Callforwards,2,
,Android-App Entwicklung: RPC für Callfowards,4,
,Android-App Entwicklung: Datenstruktur + UI-Fragment für Callforwards,20,
,Organisation,5,
,Kundenservice per SSH,5,40
11.8.2014,,,
,Android-App Entwicklung: Parallelruf Ideen,2,
,Android-App Entwicklung: Dialog für Parallelruf,6,
,Android-App Entwicklung: Recherchen und Testen für custom Menü,6,
,Android-App Entwicklung: RPC für Parallelruf,3,
,Android-App Entwicklung: Debugging der RPC-API für Parallelrufe,5,
,UCware-Daemon: Eingrenzung der Parallelrufproblematik,6,
,Android IDE: Proguard und Lint,6,
,Organisation,6,40
18.8.2014,,,
,Android-App Entwicklung: JSON für Callforwards und Parallelruf,15,
,Android-App Entwicklung: SQLite Object-Leak Bugfixing,15,
,Android-App Entwicklung: Custom Menü,6,
,Organisation,4,40
25.8.2014,,,
,Android-App Entwicklung: Voicemail Prototyp,8,
,Android-App Entwicklung: Voicemail custom UI-Elemente,4,
,Android-App Entwicklung: RPC und JSON für Voicemail,12,
,Android-App Entwicklung: Recherche und Prototyp fúr Android Mediaplayer ,11,
,Organisation,5,40
1.9.2014,,,
,Android-App Entwicklung: VM UI-Anpassungen,5,
,Android-App Entwicklung: Umbau Parallelruf Einstellungen,12,
,Kundenservice Patton,3,
,Android-App Entwicklung: DND-Button UI-Umbau und Umbau auf Broadcasts,11,
,Organisation,9,40
8.9.2014,,,
,Android-App Entwicklung: Hintergrunddienst,30,
,Einführung Ticketsystem,4,
,Organisation,6,40
15.9.2014,,,
,Android-App Entwicklung: UI und Nutzungsverbesserungen,28,
,Android-App Entwicklung: Debugging der Events vom Server,9,
,Organisation,5,42
22.9.2014,,,
,Android-App Entwicklung: Verbesserung der Kontaktliste,7,
,Android-App Entwicklung: Verbindungserhalt und Wiederaufbau,12,
,Android-App Entwicklung: Grafiken einpflegen und UI-Verbesserungen,4,
,iPhone-App: Bugreview,12,
,Organisation,5,40
29.9.2014,,,
,Android-App Entwicklung: Bibliotheken erneuern,6,
,Inventur,3,
,Android-App Entwicklung: Testen und Verbesserung der Nutzbarkeit wenn offline,12,
,Android-App Entwicklung: Aufräumen und Vereinfachen,7,
,Organisation,4,32
6.10.2014,,,
,Vorbereitungen Partnertag,6,6
13.10.2014,,,
,Android-App Entwicklung: Lint-Meldungen Abarbeiten,8,8
20.10.2014,,,
,Geräteevaluation Auerswald,6,6
27.10.2014,,,
,Auerswald-App: Prototypen für Tastennutzung,24,
,Messeprojekt Stuttgart,2,
,Auerswald-App: Bugreports und Kommunikation mit Auerswald,11,
,Organisation,3,40
3.11.2014,,,
,Geräteevaluation Auerswald - UCware,18,
,iPhone-App: Anpassungen iPhone 6/6+ und iOS 8,14,
,Organisation,8,40
10.11.2014,,,
14.11.2014,iPhone-App: Anpassungen iPhone 6/6+ und iOS 8,26,
,Urlaub,8,
,Apple-Store Einarbeitung für Release,3,
,Organisation,3,40
17.11.2014,,,
,Umbauten und Änderungen im Lager,17,
,Einführung in die UCware Einstellungen,6,
,Auerswald Check-Sync-Koordinierung,10,
,Organisation,7,40
24.11.2014,,,
,,,
,,,
,,,
1.12.2014,,,
,,,
,,,
,,,
8.12.2014-24.12.2014,,,
,Urlaub,,
26.12.2014-30.12.2014,,,
,Konferenz: 31C3,,
31.12.2014-2.1.2015,,,
